dataset_id,v1,v2,v3,v4,v5,min_x,min_y,max_x,max_y,mean_y
132,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,459,31.29531947
133,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,477,31.17589153
134,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,457,30.57708024
135,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,9,194,29.32652303
136,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,233,30.50055721
137,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,188,29.48421248
138,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,172,28.84881129
139,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,267,29.78919019
140,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,193,30.89580238
141,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,468,31.35141159
142,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,487,31.02656018
143,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,262,29.94112184
144,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,188,30.57039376
145,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,483,31.36979941
146,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,472,30.88001486
147,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,258,29.77321694
148,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,203,30.61534175
149,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,8,176,28.71842496
150,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,461,31.24387073
151,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,184,30.96638187
152,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,452,31.22009658
153,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,486,30.79531947
154,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,461,31.25872957
155,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,445,30.99721397
156,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,356,31.051263
157,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,185,29.23718425
158,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,9,220,30.4544948
159,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,185,29.27841753
160,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,247,30.41381872
161,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,460,30.48031204
162,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,481,31.28789004
163,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,463,31.22529718
164,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,236,29.80349183
165,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,206,30.81389302
166,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,459,31.26021545
167,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,481,30.9544948
168,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,185,30.79160475
169,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,499,31.40081724
