dataset_id,model_id,F1_Score
255,339, 0.9109217660728117
232,401, 0.9090909090909091
123,352, 0.9523809523809523
188,335, 1.0
155,484, 1.0
191,371, 0.9333333333333333
109,437, 1.0
84,374, 0.9090909090909091
48,395, 1.0
174,415, 1.0
187,397, 1.0
67,461, 0.9333333333333333
232,484, 1.0
197,444, 1.0
187,461, 1.0
232,317, 0.9090909090909091
194,506, 1.0
77,315, 1.0
44,382, 0.9090909090909091
83,542, 0.9090909090909091
121,507, 1.0
159,412, 0.9090909090909091
77,508, 1.0
67,392, 0.9333333333333333
117,334, 0.9473684210526316
194,570, 0.9090909090909091
153,317, 1.0
52,362, 0.9
49,541, 0.9090909090909091
86,534, 0.9090909090909091
145,343, 1.0
52,315, 1.0
189,315, 1.0
266,309, 0.9706457925636008
96,567, 0.923076923076923
64,363, 0.923076923076923
60,357, 1.0
227,335, 1.0
196,491, 0.923076923076923
92,504, 0.923076923076923
214,462, 1.0
98,317, 1.0
203,513, 1.0
16,313, 1.0
264,343, 1.0
252,341, 0.9102473498233214
28,314, 0.9411764705882353
87,595, 0.9090909090909091
123,332, 0.9523809523809523
248,311, 1.0
130,451, 0.923076923076923
230,390, 1.0
215,418, 1.0
110,333, 0.9473684210526316
43,576, 1.0
51,399, 0.923076923076923
213,513, 0.9333333333333333
187,334, 1.0
229,353, 0.9090909090909091
57,375, 1.0
163,318, 0.9090909090909091
181,556, 0.9090909090909091
104,425, 0.923076923076923
44,366, 0.9090909090909091
184,541, 0.9090909090909091
197,682, 0.9090909090909091
10,312, 1.0
147,577, 1.0
205,332, 1.0
46,315, 1.0
45,567, 0.9090909090909091
156,317, 1.0
85,386, 0.9333333333333333
64,379, 0.923076923076923
49,513, 1.0
132,457, 1.0
207,346, 0.9090909090909091
230,462, 1.0
145,458, 0.9090909090909091
150,346, 1.0
96,355, 1.0
162,316, 1.0
63,455, 1.0
76,348, 1.0
48,355, 1.0
110,360, 0.9473684210526316
200,495, 1.0
104,668, 0.9090909090909091
221,654, 0.9090909090909091
140,461, 1.0
76,480, 0.9090909090909091
164,515, 1.0
158,358, 0.9090909090909091
247,313, 0.9924385633270322
174,315, 1.0
104,452, 1.0
85,348, 0.9333333333333333
68,435, 1.0
152,624, 0.9090909090909091
230,426, 1.0
194,562, 0.9090909090909091
202,343, 1.0
148,334, 1.0
183,316, 1.0
197,398, 1.0
226,371, 1.0
233,428, 0.9090909090909091
95,653, 0.9090909090909091
227,450, 0.923076923076923
106,374, 0.923076923076923
73,430, 1.0
197,392, 1.0
153,401, 1.0
258,347, 0.9621951219512195
169,344, 1.0
129,485, 0.9090909090909091
169,317, 1.0
169,318, 1.0
124,486, 0.923076923076923
64,295, 0.923076923076923
48,497, 1.0
92,508, 0.923076923076923
108,654, 0.9090909090909091
140,331, 1.0
202,542, 0.9090909090909091
82,401, 1.0
163,340, 0.923076923076923
96,514, 0.923076923076923
58,508, 0.9090909090909091
202,564, 0.9090909090909091
179,555, 1.0
205,420, 1.0
265,313, 0.9979035639412999
179,336, 1.0
118,402, 0.9090909090909091
65,373, 0.9333333333333333
202,428, 1.0
94,484, 1.0
147,537, 1.0
152,541, 0.9090909090909091
84,597, 0.9090909090909091
76,315, 1.0
190,483, 1.0
102,415, 1.0
50,373, 1.0
92,455, 0.923076923076923
163,429, 0.9090909090909091
73,455, 1.0
96,446, 0.923076923076923
215,376, 1.0
108,651, 0.9090909090909091
233,392, 0.923076923076923
85,459, 0.9333333333333333
44,494, 0.9090909090909091
175,398, 1.0
104,569, 0.9090909090909091
14,343, 0.9411764705882353
152,650, 0.9090909090909091
36,324, 0.9333333333333333
193,371, 1.0
57,496, 1.0
270,311, 1.0
87,597, 0.9090909090909091
152,514, 1.0
230,424, 1.0
230,522, 1.0
184,540, 0.9090909090909091
132,373, 1.0
155,345, 1.0
232,486, 0.9090909090909091
184,317, 0.9090909090909091
86,356, 1.0
155,616, 0.9090909090909091
132,542, 0.9090909090909091
175,445, 1.0
194,392, 0.923076923076923
126,338, 1.0
139,552, 0.923076923076923
158,398, 0.9090909090909091
197,426, 0.923076923076923
159,429, 1.0
140,334, 1.0
175,430, 1.0
80,540, 0.9090909090909091
158,555, 0.9090909090909091
42,395, 0.9411764705882353
180,340, 0.923076923076923
232,430, 0.9090909090909091
44,360, 0.9090909090909091
145,402, 0.9090909090909091
130,595, 0.9090909090909091
162,654, 0.9090909090909091
226,315, 1.0
167,372, 1.0
179,575, 1.0
166,340, 0.923076923076923
258,305, 0.9020234291799787
227,448, 0.923076923076923
99,363, 1.0
101,317, 1.0
50,568, 0.9090909090909091
184,429, 0.9090909090909091
218,364, 1.0
104,679, 0.9090909090909091
197,672, 0.9090909090909091
64,318, 0.923076923076923
184,566, 0.9090909090909091
140,459, 1.0
43,458, 1.0
109,557, 1.0
226,483, 1.0
153,511, 1.0
156,413, 1.0
104,622, 0.9090909090909091
107,340, 1.0
68,396, 1.0
202,513, 1.0
164,475, 1.0
221,681, 0.9090909090909091
163,616, 0.9090909090909091
124,456, 0.923076923076923
189,371, 1.0
142,402, 1.0
167,484, 1.0
109,517, 1.0
229,361, 0.9090909090909091
132,371, 1.0
184,340, 0.923076923076923
197,401, 1.0
187,475, 1.0
220,430, 0.9090909090909091
43,452, 0.9090909090909091
67,390, 0.9333333333333333
163,483, 1.0
167,653, 0.9090909090909091
159,414, 0.9090909090909091
125,452, 0.923076923076923
120,343, 1.0
233,399, 1.0
196,348, 1.0
264,337, 0.9216867469879518
182,429, 1.0
133,427, 1.0
181,564, 0.9090909090909091
135,355, 0.9523809523809523
148,332, 1.0
68,337, 1.0
202,570, 0.9090909090909091
96,316, 1.0
162,650, 0.9090909090909091
162,371, 1.0
186,363, 1.0
37,314, 0.9411764705882353
43,332, 0.9090909090909091
180,399, 1.0
60,458, 0.9090909090909091
101,427, 1.0
82,399, 1.0
118,458, 0.9090909090909091
261,349, 0.9622528460155781
152,680, 0.9090909090909091
190,401, 1.0
66,371, 1.0
205,414, 1.0
86,496, 1.0
230,364, 1.0
148,348, 1.0
156,430, 0.9090909090909091
92,430, 0.923076923076923
205,331, 1.0
140,504, 1.0
140,482, 1.0
204,485, 1.0
54,536, 1.0
255,307, 0.9109217660728117
175,493, 1.0
166,400, 1.0
181,444, 1.0
194,424, 1.0
205,350, 1.0
209,427, 1.0
50,426, 1.0
203,401, 1.0
183,411, 1.0
215,576, 1.0
190,345, 1.0
262,339, 0.9176788124156545
132,317, 1.0
202,536, 0.9090909090909091
80,373, 0.9090909090909091
184,568, 0.9090909090909091
211,357, 0.923076923076923
160,333, 1.0
148,331, 1.0
153,372, 1.0
177,452, 0.923076923076923
87,429, 1.0
132,506, 0.923076923076923
151,413, 1.0
82,454, 0.9090909090909091
231,346, 1.0
41,344, 1.0
81,402, 1.0
129,373, 0.9090909090909091
139,517, 0.923076923076923
163,373, 0.9090909090909091
202,374, 1.0
188,328, 0.9090909090909091
60,338, 0.9090909090909091
173,349, 0.9473684210526316
181,654, 0.9090909090909091
162,450, 1.0
76,332, 1.0
206,535, 0.9090909090909091
152,512, 1.0
187,509, 1.0
175,478, 1.0
194,653, 0.9090909090909091
158,477, 0.9090909090909091
8,313, 0.923076923076923
80,486, 0.9090909090909091
77,456, 1.0
184,514, 0.9090909090909091
144,396, 1.0
142,343, 1.0
181,668, 0.9090909090909091
130,511, 1.0
159,381, 1.0
68,536, 1.0
193,390, 0.9090909090909091
200,455, 1.0
208,512, 0.923076923076923
96,497, 1.0
43,326, 0.9090909090909091
51,345, 0.923076923076923
96,566, 1.0
84,676, 0.9090909090909091
202,538, 0.9090909090909091
85,318, 0.9333333333333333
223,332, 0.9523809523809523
233,456, 0.9090909090909091
68,378, 1.0
130,642, 0.9090909090909091
156,483, 1.0
218,492, 1.0
152,455, 1.0
140,462, 1.0
67,451, 0.9333333333333333
250,345, 0.996078431372549
187,524, 1.0
48,397, 1.0
215,518, 1.0
