dataset_id,model_id,balance_accuracy
70,998, 0.25
40,1085, 0.125140694
21,514, 0.333333333
66,1327, 0.319575187
14,98, 0.715
34,421, 0.500981033
54,994, 0.261580279
13,196, 0.5
21,489, 0.330935287
12,321, 0.5075
14,1820, 0.557
14,1040, 0.489
41,1325, 0.189554455
36,1425, 0.504401415
38,1798, 0.091666667
53,1083, 0.333333333
27,172, 0.556521739
26,333, 0.456287507
59,1397, 0.427194861
50,1218, 0.23
14,106, 0.9895
51,1484, 0.5
19,1144, 0.547914852
49,84, 0.454166667
36,995, 0.022403183
59,1688, 0.5
43,1263, 0.199469485
18,240, 0.484713537
39,1520, 0.070951367
65,556, 0.522182593
18,242, 0.491934257
52,609, 0.316183718
37,1019, 0.304483968
18,647, 0.538042927
64,1086, 0.337866667
2,143, 0.223183451
19,554, 0.797051823
60,581, 0.44410754
18,623, 0.480847558
4,447, 0.525005504
21,612, 0.492609362
0,1305, 0.064640986
49,703, 0.268055556
4,753, 0.518044285
26,339, 0.5
27,1289, 0.5
5,204, 0.25993441
7,1360, 0.5265
33,1248, 0.140570818
2,146, 0.204505061
14,110, 0.7135
21,505, 0.339746082
41,1723, 0.195835644
7,440, 0.262
64,1078, 0.380266667
3,1863, 0.144654169
56,423, 0.4815
30,201, 0.168822307
44,1614, 0.5
33,1152, 0.171979318
71,906, 0.206100816
63,1056, 0.105917592
63,682, 0.1
22,662, 0.500192012
42,565, 0.699440421
52,477, 0.333333333
50,1736, 0.212
20,1594, 0.887734991
8,288, 0.105555556
33,1254, 0.133843614
9,1361, 0.553406202
53,1095, 0.333333333
24,1056, 0.075930838
7,1023, 0.4585
26,1244, 0.819126205
50,1739, 0.2
8,293, 0.1
54,981, 0.260479516
39,1650, 0.125
46,743, 0.630722279
5,210, 0.411496199
6,628, 0.641117896
11,242, 0.5
49,1793, 0.333333333
5,808, 0.25
42,1716, 0.5
23,363, 0.466117216
45,1212, 0.184937211
23,661, 0.831756207
6,229, 0.998929336
26,1241, 0.5
50,1334, 0.204
12,98, 0.715
33,1270, 0.143681628
63,1665, 0.224119918
57,1653, 0.114920884
39,681, 0.125
51,441, 0.5
40,1556, 0.129361517
69,1492, 0.499021526
57,683, 0.1
51,1479, 0.4574
31,844, 0.558806654
48,935, 0.5
48,410, 0.500047086
50,1331, 0.232
42,1718, 0.494897959
12,1799, 0.484
66,1743, 0.019689542
18,363, 0.480344769
64,1696, 0.336
54,1437, 0.225859248
51,114, 0.563
59,1554, 0.545255124
19,550, 0.838933449
65,1702, 0.819985058
27,749, 0.806521739
30,871, 0.243577402
39,677, 0.125
36,1431, 0.074862953
38,1046, 0.995
68,89, 0.35966443
7,1495, 0.509
44,1546, 0.5
28,143, 0.216261187
7,385, 0.785
34,416, 0.5
29,829, 0.296418948
64,1561, 0.4819
14,1821, 0.555
7,120, 0.963
38,1632, 0.558333333
